1997	25.47	13.47	12.88	9.51	5.08	14.26	14.71	17.4	29.22	56.06	1.6	0.93	0.39	0	4.14	1.06
1998	26.49	14.78	10.97	6.41	3.76	1.7	-21.12	13.86	14.78	56.26	1.6	0.89	0.34	0	3.73	0.94
1999	24.31	14.95	11.03	7.56	4.22	9.84	33.87	16.73	14.97	53.43	1.55	0.92	0.38	0	0	1.12
2000	24.19	15.52	10.1	7.29	3.85	16.4	7.39	21.39	16.21	51.19	1.58	0.99	0.38	0	0	1.19
2001	25.72	18.79	4.88	3.12	1.68	3.34	-49.32	9.83	9.39	49.95	1.53	0.88	0.35	1.64	0	0.98
2002	24.54	17.25	4.21	2.89	1.53	13.27	10.22	11.42	5.07	46.78	1.45	0.77	0.36	1.8	5.57	0.94
2003	23.87	15.71	4.33	3.58	1.66	18.05	25.08	15.02	5.07	43.47	1.43	0.69	0.38	1.95	6.93	0.89
2004	23.36	16.56	1.71	1.28	0.69	19.01	-61.72	8.49	4.22	41.76	1.36	0.66	0.41	2.2	8.29	0.92
2005	25.01	16.56	2.03	1.51	0.76	-1.46	22.97	5.87	1.36	39.76	1.31	0.58	0.37	2.08	8.48	0.79
2006	27.72	12.7	6.24	6.05	2.41	26.3	389.21	36.84	29.76	37.18	1.45	0.54	0.39	3.06	11.18	0.66
2007	31.96	11.29	12.3	12.18	4.55	33.99	173.78	41.37	46	38.26	1.62	0.59	0.37	4.58	15.57	0.54
2008	36.3	12.1	13.56	10.34	4.14	3.73	1.93	12.03	12.25	37.41	1.77	0.5	0.31	5.49	17.69	0.36
2009	35.6	9.48	16.97	13.41	4.95	20.46	43.64	30.65	24.56	35.57	1.91	0.65	0.29	7.42	20.19	0.33
2010	37.25	9.52	16.2	13.6	4.48	27.3	20.76	32.43	13.58	30.57	1.78	0.58	0.28	9.38	22.78	0.31
2011	39.42	10.66	15.94	14.2	4.06	13.21	11.3	20.78	15.65	28.71	1.62	0.4	0.25	10.07	23.41	0.24
2012	37.43	9.98	14.74	14.16	3.8	24.35	14.06	20.14	13.99	27.29	1.6	0.43	0.26	11.14	23.24	0.25
2013	33.51	8.93	13.41	14.33	3.62	27.48	14.59	22.44	14.96	25.64	1.62	0.41	0.27	13.2	21.25	0.28
2014	31.88	9.19	11.99	12.72	3.06	12.53	1.32	15.68	14.87	25.47	1.61	0.41	0.26	13.81	19.15	0.27
2015	28.37	8.85	10.06	11.67	2.85	5.14	3.57	20.1	20.04	23.63	1.63	0.46	0.28	16.53	22.46	0.33
2016	27.58	8.21	10.66	13.13	2.98	28.55	38.21	22.59	18.19	23.1	1.65	0.55	0.28	17.4	22.32	0.35
