2000-12-31	104.8276203	100	100.3035642	100.0913594	102.1236528
2001-12-31	104.9039929	100.162812	100	100.384366	102.1763932
2002-12-31	104.7481948	100.1247859	100.1012117	100.1323894	102.0767529
2003-12-31	104.3785407	100.1281826	100.1184519	100.240582	101.9454945
2004-12-31	103.0220331	100.3065769	100.1655555	100.2932696	101.4227057
2005-12-31	103.8367958	100.3966453	100.4020318	100.4764316	101.8681869
2006-12-31	102.5082026	100.3695221	100.5284635	100.3808716	101.3098776
2007-12-31	104.7608417	100.5277862	100.6301239	100.5420147	102.3425513
2008-12-31	104.6474611	100.4733228	100.7800378	100	102.2123988
2009-12-31	104.5089019	100.5379598	100.8259662	100.9344236	102.3548016
2010-12-31	104.6221254	100.6345774	101	100.7811173	102.4266348
2011-12-31	104.8059085	100.7229836	100.8940184	100.7311948	102.4876156
2012-12-31	105.1470129	100.698296	100.9059222	100.8241024	102.6480458
2013-12-31	104.5753403	100.7606258	100.9198744	100.9104306	102.4366195
2014-12-31	104.4146973	100.8346011	100.9156313	100.4090327	102.2839126
2015-12-31	104.0906431	101	100.8703925	101	102.2797938
