2015-02-28	17.60	21.60	-2.00	-6.80	5.386840955	3.20	10.50	17.00	-0.09	-0.12	-8.96	-19.44	4.01	1.40	12.50	10.90	14.30	4.27	3.88	-6.77	-1.16	55.20	5.60	-3.79	-0.97
2015-03-31	20.10	22.00	-2.00	-8.20	5.052295327	3.90	7.80	6.20	-0.70	-1.91	-9.71	-17.17	3.65	1.40	11.60	10.10	14.00	-2.66	-2.46	-6.93	-2.44	4.40	2.90	-17.53	-0.17
2015-04-30	17.40	22.10	5.20	-9.60	4.228650558	5.10	13.80	3.70	-0.59	-2.49	-10.32	-15.56	3.28	1.50	10.10	9.70	14.10	0.39	0.47	-6.83	-3.05	33.20	3.70	-20.36	-0.53
2015-05-31	18.00	22.50	-1.80	-9.60	4.134932579	5.00	11.10	1.80	-0.14	-2.08	-10.89	-15.88	2.86	1.20	10.80	10.90	14.00	1.85	2.14	-6.89	-3.00	2.60	4.70	-18.96	0.29
2015-06-30	17.40	23.20	-1.20	-7.60	4.607400745	6.60	11.80	2.90	0.22	-2.19	-10.96	-15.14	2.58	1.40	11.80	10.70	13.40	-2.68	-4.00	-6.45	-2.72	13.90	4.30	-16.68	0.05
2015-07-31	16.30	23.80	-0.50	-7.90	5.419767283	7.50	13.40	2.90	0.43	-2.16	-11.55	-15.87	2.47	1.60	13.30	13.40	15.50	-0.98	-0.95	-6.56	-2.57	24.10	6.60	-11.93	-0.06
2015-08-31	17.30	24.60	0.40	-8.00	5.563995538	7.40	14.80	1.80	0.46	-2.60	-12.08	-19.52	2.30	2.00	13.30	13.00	15.40	-1.09	-0.48	-6.37	-0.75	25.90	9.30	-9.87	-0.48
2015-09-30	17.50	25.30	1.20	-8.70	5.486391646	7.60	16.40	3.70	-0.06	-2.97	-12.73	-15.97	2.14	1.60	13.10	12.60	15.40	1.40	1.54	-6.52	-2.50	26.90	11.40	-7.50	-0.24
2015-10-31	17.70	25.60	1.00	-9.30	5.772483895	7.70	18.10	3.80	-0.06	-3.33	-13.26	-15.71	1.97	1.30	13.50	12.70	15.40	-1.19	-1.70	-6.80	-3.05	36.10	14.00	-8.11	0.06
2015-11-30	17.80	26.40	0.90	-9.40	5.827768364	8.00	18.90	3.20	0.01	-3.58	-13.71	-16.32	1.77	1.50	13.70	13.10	14.90	0.30	0.29	-7.05	-3.18	25.90	15.70	-8.32	0.14
2015-12-31	17.75	27.50	0.20	-9.50	6.428974028	8.40	15.80	4.90	-0.01	-3.74	-14.12	-17.03	1.53	1.60	13.30	12.40	14.30	0.40	-0.38	-7.39	-3.39	0.75	15.20	-6.82	0.13
2016-01-31	16.73	41.40	7.60	-20.00	6.385444317	5.80	24.30	15.10	0.18	-7.48	-20.66	-13.65	-0.81	1.80	14.00	12.50	15.30	-0.30	0.29	-9.01	-7.24	24.30	18.60	69.81	0.47
2016-02-29	15.70	44.80	6.50	-19.00	6.536015485	6.30	12.00	-4.80	0.18	-5.42	-21.63	-10.21	-0.44	2.30	13.30	13.30	14.70	0.40	0.38	-9.03	-8.60	2.70	17.40	26.55	-1.08
2016-03-31	16.50	46.05	5.00	-15.10	32.39494644	6.50	15.40	4.40	0.54	-4.83	-20.40	-12.97	-0.08	2.30	13.40	13.00	14.70	-5.76	-4.21	-9.00	-7.52	20.10	22.10	44.27	0.27
2016-04-30	16.30	46.37	5.30	-13.90	32.73953734	8.60	12.40	6.00	0.24	-4.32	-20.00	-13.69	0.07	2.30	12.80	12.90	14.40	0.63	1.00	-8.94	-7.15	4.50	22.90	31.25	0.27
2016-05-31	15.50	47.10	5.30	-13.80	33.211194	8.30	13.60	6.30	0.07	-5.34	-19.75	-14.65	0.33	2.00	11.80	11.50	14.40	-0.31	-1.19	-8.96	-6.82	17.60	23.70	17.62	-0.46
2016-06-30	15.70	47.70	5.30	-15.90	34.33582749	7.06	15.13	7.20	-0.08	-5.52	-19.81	-12.46	0.54	1.90	11.80	10.90	14.30	4.10	3.11	-9.16	-7.92	19.92	24.60	11.82	-0.32
2016-07-31	15.40	48.50	4.30	-16.10	35.60925682	6.50	13.00	7.20	-0.41	-5.73	-19.82	-18.20	0.76	1.80	10.20	9.50	12.90	3.23	3.79	-9.10	-5.73	0.30	25.40	8.14	0.10
2016-08-31	15.30	49.30	4.30	-15.40	36.75886304	6.00	12.70	7.40	-0.33	-5.61	-19.84	-13.81	0.98	1.30	11.40	10.80	13.00	-0.68	-1.12	-9.13	-7.51	10.30	25.40	10.84	0.03
2016-09-30	14.90	50.30	3.90	-15.30	38.41325506	5.90	12.50	6.60	0.37	-5.30	-19.88	-17.13	1.26	1.90	11.50	11.10	13.00	-1.38	-0.95	-8.93	-5.93	11.30	24.70	12.84	0.26
2016-10-31	15.00	51.70	4.30	-15.80	38.85463303	5.90	10.00	7.20	0.05	-5.35	-19.93	-17.56	1.44	2.10	11.60	11.50	13.10	2.40	2.49	-9.25	-6.21	-12.50	23.90	15.15	0.02
2016-11-30	15.70	53.00	4.20	-16.30	39.78545259	5.70	10.20	7.60	-0.06	-5.43	-19.71	-17.29	1.23	2.30	11.40	10.80	13.10	1.66	1.31	-9.79	-7.08	12.20	22.70	20.02	0.10
2016-12-31	15.36	54.20	4.80	-16.80	39.29053484	4.50	6.40	8.10	0.04	-5.55	-19.54	-16.90	1.24	2.10	11.30	11.00	13.50	-0.58	-0.18	-10.55	-8.29	-13.87	21.40	16.40	0.66
2017-01-31	11.15	65.80	58.94	-32.75	41.06618503	17.70	37.50	19.40	3.56	-7.48	-20.66	-16.06	3.93	2.50	11.30	10.40	12.60	0.68	0.74	-9.39	-7.01	37.50	14.50	6.37	0.55
2017-02-28	14.70	41.80	1.60	-22.20	42.22310798	14.90	17.40	3.30	3.44	-34.26	-1.80	-15.62	3.89	0.80	11.10	11.40	13.00	2.78	3.11	-9.43	-7.24	-1.01	21.40	11.16	0.84
2017-03-31	15.60	44.57	2.90	-22.60	15.24182435	14.10	21.00	6.10	0.35	-34.31	-3.12	-15.47	4.07	0.90	10.60	10.30	12.40	-1.03	-1.42	-9.19	-6.98	25.40	18.80	3.08	-0.17
2017-04-30	15.70	43.70	2.50	-23.70	15.75941565	11.80	16.30	6.20	0.10	-34.86	-4.68	-14.82	4.30	1.20	10.50	9.80	12.90	2.45	2.16	-9.13	-7.13	3.80	18.50	10.87	-0.18
2017-05-31	15.70	50.40	2.90	-23.60	16.22009622	10.03	14.68	7.30	-0.05	-34.43	-4.53	-13.52	4.83	1.50	9.60	9.20	12.90	-0.83	-1.23	-8.99	-7.44	9.17	17.00	14.70	-0.07
